"","Feature","Importance"
"v_current","v_current",113.213557083484
"u_current","u_current",108.142277126277
"Temperature","Temperature",71.3017973815486
"Temperature.1","Temperature.1",67.057638827726
"Humidity","Humidity",48.9793149440174
"SurfaceVelocity","SurfaceVelocity",47.854936295442
"PotentialDensity","PotentialDensity",43.1242489378345
"UWindStress","UWindStress",39.3345340182948
"VCurrent","VCurrent",31.1360431668811
"curl10","curl10",27.0414846632029
"UWind","UWind",24.4366919036952
"UCurrent","UCurrent",22.341861733042
"curl20","curl20",21.7717021243614
"VWindStress","VWindStress",19.9385492537239
"ScalarWind","ScalarWind",19.5139790127394
"calcite","calcite",18.2987165392713
"ScalarWindCubed","ScalarWindCubed",16.960242447695
"Longitude","Longitude",16.7871788092106
"HumidityMinusTemp","HumidityMinusTemp",15.3307834089117
"SeaAirTempDiff","SeaAirTempDiff",15.3120966334904
"VWind","VWind",12.8808829845938
"pressure","pressure",12.6304747582835
"uv_magnitude20","uv_magnitude20",12.4375955234065
"MeridonalLatentHeatParameter","MeridonalLatentHeatParameter",12.4099990195848
"HeatParameter","HeatParameter",11.6274708897542
"ZonalLatentHeatParameter","ZonalLatentHeatParameter",11.5125807197103
"LatentHeat","LatentHeat",11.3823556258723
"SensibleHeatTransNorthward","SensibleHeatTransNorthward",11.0366538957684
"LatentHeatTransNorthward","LatentHeatTransNorthward",10.1629405329641
"Humidity.1","Humidity.1",9.98414120226966
"SensibleHeatTransEastward","SensibleHeatTransEastward",9.87009614876594
"ice","ice",9.82953671357151
"MeridonalSurfaceWindStress10","MeridonalSurfaceWindStress10",9.44521267750335
"ZonalSurfaceWindStress20","ZonalSurfaceWindStress20",9.04920581322755
"LatentHeatTransEastward","LatentHeatTransEastward",8.70815103200401
"SeaSurfaceTemp","SeaSurfaceTemp",8.20010992484998
"Pressure","Pressure",7.79795871644681
"SeaIceConcentration","SeaIceConcentration",7.53986749417238
"MeridonalSurfaceWindStress20","MeridonalSurfaceWindStress20",7.34105602716763
"Cloudiness","Cloudiness",6.95662561632492
"AirTempSurface","AirTempSurface",5.70998617044958
"uv_magnitude10","uv_magnitude10",3.36343649834072
"Latitude","Latitude",2.75369676790228
